Timestamp;Umid;pH;Defic_N;Defic_P;Defic_K;Bomba
2026-05-01 00:00;75,00;3,00;0;0;0;0
2026-05-01 03:00;75,00;3,00;0;0;0;0
2026-05-01 06:00;75,00;3,00;0;0;0;0
2026-05-01 09:00;75,00;3,00;0;0;0;0
2026-05-01 12:00;75,00;3,00;0;0;0;0
2026-05-01 15:00;75,00;3,00;0;0;0;0
2026-05-01 18:00;75,00;3,00;0;0;0;0
2026-05-01 21:00;75,00;3,00;0;0;0;0
2026-05-02 00:00;75,00;3,00;0;0;0;0
2026-05-02 03:00;75,00;3,00;0;0;0;0
2026-05-02 06:00;75,00;3,00;0;0;0;0
2026-05-02 09:00;75,00;3,00;0;0;0;0
2026-05-02 12:00;75,00;3,00;0;0;0;0
2026-05-02 15:00;53,00;3,00;0;0;0;0
2026-05-02 18:00;53,00;3,00;0;0;0;0
2026-05-02 21:00;53,00;3,00;0;0;0;0
2026-05-03 00:00;53,00;3,00;0;0;0;0
2026-05-03 03:00;53,00;3,00;0;0;0;0
2026-05-03 06:00;53,00;3,00;0;0;0;0
2026-05-03 09:00;53,00;3,00;0;0;0;0
2026-05-03 12:00;53,00;3,00;0;0;0;0
2026-05-03 15:00;53,00;3,00;0;0;0;0
2026-05-03 18:00;53,00;3,00;0;0;0;0
2026-05-03 21:00;53,00;3,00;0;0;0;0
2026-05-04 00:00;53,00;3,00;0;0;0;0
2026-05-04 03:00;53,00;3,00;0;0;0;0
2026-05-04 06:00;53,00;3,00;0;0;0;0
2026-05-04 09:00;53,00;3,00;0;0;0;0
2026-05-04 12:00;53,00;3,00;0;0;0;0
2026-05-04 15:00;53,00;3,00;0;0;0;0
2026-05-04 18:00;53,00;3,00;0;0;0;0
2026-05-04 21:00;53,00;3,00;0;0;0;0
2026-05-05 00:00;53,00;3,00;0;0;0;0
2026-05-05 03:00;53,00;3,00;0;0;0;0
2026-05-05 06:00;53,00;3,00;0;0;0;0
2026-05-05 09:00;53,00;3,00;0;0;0;0
2026-05-05 12:00;53,00;3,00;0;0;0;0
2026-05-05 15:00;53,00;3,00;0;0;0;0
2026-05-05 18:00;53,00;3,00;0;0;0;0
2026-05-05 21:00;53,00;3,00;0;0;0;0
2026-05-06 00:00;53,00;3,00;0;0;0;0
2026-05-06 03:00;53,00;3,00;0;0;0;0
2026-05-06 06:00;53,00;3,00;0;0;0;0
2026-05-06 09:00;53,00;3,00;0;0;1;0
2026-05-06 12:00;53,00;3,00;0;0;1;0
2026-05-06 15:00;53,00;3,00;0;0;1;0
2026-05-06 18:00;53,00;3,00;0;0;0;0
2026-05-06 21:00;53,00;3,00;0;0;0;0
